"Skill","RelativePath","RootHash","DocumentSkillsHash"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-customXmlSchemaProperties.xsd","0D103B99A4A8652F8871552A69D42D2A3760AC6A5E3EF02D979C4273257FF6A4","4048C35B8949BAB9F8AC58C2FCD0B534C5626FBE1D2BC88522A3724A0514D091"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-documentPropertiesCustom.xsd","9C085407751B9061C1F996F6C39CE58451BE22A8D334F09175F0E89E42736285","7F112630FF0A2BF450FB80CCC7D891FB2BFD70866C4913590D3A91F43744D4EC"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-documentPropertiesExtended.xsd","BC92E36CCD233722D4C5869BEC71DDC7B12E2DF56059942CCE5A39065CC9C368","2DD1B7CE7CF5BE453FD2DB72B6D6072259EDE8193DB7518C72439FA26FD7AD72"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-documentPropertiesVariantTypes.xsd","7B5B7413E2C895B1E148E82E292A117D53C7EC65B0696C992EDCA57B61B4A74B","EC24C8039ACB44422B65C2D99AF82D4F21007D17BC33C87D36549904A29702D8"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-math.xsd","3213EF1631606250F5010B42CAD7EF716F7C59426367798E33C374C0EC391D3A","F812DFFCA0BB66DB6E2EC2E01DD19258636B2A5A3A0BB949A2E7295665E0CE61"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\shared-relationshipReference.xsd","12264F3C03D738311CD9237D212F1C07479E70F0CBE1AE725D29B36539AEF637","2A6B823A7C6DA33BEDB8EA9BE74199DB8A907530ECF9D3B31F31F92C4539A4C2"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\sml.xsd","BEFFEED56945C22A77440122C8BDC426F3FCBE7F3B12EA0976C770D1F8D54578","495DEBC8FA967B77ED37799747B049832F2C95B2ECDB9F19DDCD68F8C9F96AB9"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\vml-main.xsd","F5EE623B08B6A66935E5ACED2F5D8AD0FC71BF9E8E833CD490150C0FA94B8763","335E9ECD40BB594EC4B916AC8C7B9EEAD4E16FE1B79F9D4105FDB1C43B66BB1C"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\vml-officeDrawing.xsd","585BEDC1313B40888DCC544CB74CD939A105EE674F3B1D3AA1CC6D34F70FF155","86C9AC8549D84AF107DAAC8F6B3B0B9ED1113EAE22BE8FEF4C5F2B606F23AE36"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\vml-presentationDrawing.xsd","133C9F64A5C5D573B78D0A474122B22506D8EADB5E063F67CDBBB8FA2F161D0E","DB28DF195A3A1DA2C749162C4E5736C94FC4E3D5E20D767D5FF68A37FDD46FD5"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\vml-spreadsheetDrawing.xsd","6BDEB169C3717EB01108853BD9FC5A3750FB1FA5B82ABBDD854D49855A40F519","2F7C6B2A8A9D7A7E0DFA32FF3F13856275D83D0BBE968C7FC9954D0F665E7588"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\vml-wordprocessingDrawing.xsd","475DCAE1E7D1EA46232DB6F8481040C15E53A52A3C256831D3DF204212B0E831","F5E69BC0280A2AAE659766F782D2AF47738C6C97FFABB0B10A871489F60280BC"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\wml.xsd","C2DD9F61F892DEAE6ACD8D20771EA79B12018AF25F3BF8D06639C8542D218CFD","A5DB454991DE6C9D52DB8D2DDA43D2F27F4CFA2E62C012D6BF202DEEF90659CE"
"pptx","ooxml\schemas\ISO-IEC29500-4_2016\xml.xsd","A539AA2FB154FA50E0F5CC97E6AD7CBC66F8EC3E3746F61EC6A8B0D5D15ECDF2","70A3C67959F9AD2333016328716101BF8B476E682F29830CC9EE8DA63DCA7CC2"
"pptx","ooxml\schemas\mce\mc.xsd","3A37E461ECF5A8670FDEC34029703401F8728AB9C96EC1739A6AE58D55212413","FC3D4398375C68A8AA0D608DAD9003A3E5CC566F3D16A443F92FCA3799ED2DF3"
